"schema_name","table_name","column_name","data_type","character_maximum_length","is_nullable","column_default"
"storage","objects","created_at","timestamp with time zone","null","YES","now()"
"storage","objects","updated_at","timestamp with time zone","null","YES","now()"
"storage","objects","last_accessed_at","timestamp with time zone","null","YES","now()"
"storage","objects","metadata","jsonb","null","YES","null"
"storage","objects","path_tokens","ARRAY","null","YES","null"
"storage","objects","version","text","null","YES","null"
"storage","objects","owner_id","text","null","YES","null"
"storage","objects","user_metadata","jsonb","null","YES","null"
"storage","s3_multipart_uploads","id","text","null","NO","null"
"storage","s3_multipart_uploads","in_progress_size","bigint","null","NO","0"
"storage","s3_multipart_uploads","upload_signature","text","null","NO","null"
"storage","s3_multipart_uploads","bucket_id","text","null","NO","null"
"storage","s3_multipart_uploads","key","text","null","NO","null"
"storage","s3_multipart_uploads","version","text","null","NO","null"
"storage","s3_multipart_uploads","owner_id","text","null","YES","null"
"storage","s3_multipart_uploads","created_at","timestamp with time zone","null","NO","now()"
"storage","s3_multipart_uploads","user_metadata","jsonb","null","YES","null"
"storage","s3_multipart_uploads_parts","id","uuid","null","NO","gen_random_uuid()"
"storage","s3_multipart_uploads_parts","upload_id","text","null","NO","null"
"storage","s3_multipart_uploads_parts","size","bigint","null","NO","0"
"storage","s3_multipart_uploads_parts","part_number","integer","null","NO","null"
"storage","s3_multipart_uploads_parts","bucket_id","text","null","NO","null"
"storage","s3_multipart_uploads_parts","key","text","null","NO","null"
"storage","s3_multipart_uploads_parts","etag","text","null","NO","null"
"storage","s3_multipart_uploads_parts","owner_id","text","null","YES","null"
"storage","s3_multipart_uploads_parts","version","text","null","NO","null"
"storage","s3_multipart_uploads_parts","created_at","timestamp with time zone","null","NO","now()"
"vault","secrets","id","uuid","null","NO","gen_random_uuid()"
"vault","secrets","name","text","null","YES","null"
"vault","secrets","description","text","null","NO","''::text"
"vault","secrets","secret","text","null","NO","null"
"vault","secrets","key_id","uuid","null","YES","(pgsodium.create_key()).id"
"vault","secrets","nonce","bytea","null","YES","pgsodium.crypto_aead_det_noncegen()"
"vault","secrets","created_at","timestamp with time zone","null","NO","CURRENT_TIMESTAMP"
"vault","secrets","updated_at","timestamp with time zone","null","NO","CURRENT_TIMESTAMP"
